id,lessons_delivered,mean_lesson_price,lessons_given,lessons_started_fraction,lessons_per_pupil,money_recieved,blocked,is_email_confirmed,lesson_cost,is_display,is_cell_phone_confirmed,area_id,review_num,age_tutor,experience_tutor,time_month_reg,time_last_visited,subject_num,def_price,for_one_from_all,active_no_close,def_price_for_one,price_between,lesson_duration_30.0,lesson_duration_40.0,lesson_duration_45.0,lesson_duration_50.0,lesson_duration_55.0,lesson_duration_60.0,lesson_duration_65.0,lesson_duration_80.0,lesson_duration_90.0,lesson_duration_120.0,lesson_duration_160.0,sex_1.0,sex_2.0
198013,470.0,1284.221748,469.0,0.6666666667,78.16666667,602300.0,0,0.0,800.0,1.0,0.0,2.0,10.0,27.0,7.0,49.0,601.0,2,-1380.0,0.22805549329564398,,1525.0,673.2142857142858,False,False,False,False,False,True,False,False,False,False,False,True,False
153845,1111.0,884.0850277,1082.0,0.358974359,77.28571429,956580.0,0,0.0,600.0,1.0,0.0,13.0,26.0,56.0,39.0,66.0,600.0,1,-966.6666666666666,0.2536932073786947,,771.6666666666666,641.1363636363636,False,False,False,False,False,True,False,False,False,False,False,False,True
42869,505.0,2500.0,184.0,0.1428571429,61.33333333,460000.0,0,0.0,2500.0,1.0,0.0,2.0,64.0,59.0,22.0,138.0,599.0,1,2306.25,0.5468663793344439,,0.0,2500.0,False,False,False,False,False,True,False,False,False,False,False,False,True
127280,442.0,1879.338843,363.0,0.15,60.5,682200.0,0,0.0,1500.0,1.0,0.0,1.0,10.0,38.0,19.0,79.0,818.0,1,-1900.0,0.7333333333333334,,,,False,False,False,False,False,True,False,False,False,False,False,False,True
283905,694.0,1252.434457,534.0,0.2571428571,59.33333333,668800.0,0,0.0,1178.0,1.0,0.0,116.0,1.0,51.0,32.0,16.0,,3,-1085.3333333333333,0.026725693143367077,,0.0,1358.3333333333333,False,False,True,False,False,False,False,False,False,False,False,False,True
278907,122.0,1195.762712,118.0,0.2857142857,59.0,141100.0,0,0.0,750.0,1.0,0.0,1.0,0.0,23.0,2.0,18.0,,3,-850.0,0.38314163866632206,,1025.0,363.54166666666663,False,False,True,False,False,False,False,False,False,False,False,True,False
88923,1312.0,1776.096998,866.0,0.6818181818,57.73333333,1538100.0,0,0.0,2200.0,1.0,0.0,1.0,48.0,28.0,11.0,104.0,598.0,2,-1529.1666666666667,0.15956958040408528,,0.0,1800.0,False,False,False,False,False,True,False,False,False,False,False,True,False
236231,55.0,1000.0,55.0,0.1666666667,55.0,55000.0,0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,4.0,33.0,632.0,1,685.0,0.8363636363636363,,,,False,False,False,False,False,True,False,False,False,False,False,False,True
32287,142.0,1159.633028,109.0,0.2222222222,54.5,126400.0,0,0.0,1000.0,1.0,0.0,20.0,4.0,35.0,18.0,149.0,641.0,2,570.0,0.4267848553562839,,,,False,False,False,False,False,True,False,False,False,False,False,False,True
128014,2185.0,3531.25,1520.0,0.6666666667,54.28571429,5367500.0,0,0.0,3000.0,1.0,0.0,2.0,43.0,27.0,9.0,79.0,610.0,2,-3562.5,0.24230621183094125,,1312.5,4532.142857142857,False,False,False,False,False,True,False,False,False,False,False,True,False
65967,530.0,3712.618596,527.0,0.625,52.7,1956550.0,0,0.0,2500.0,1.0,1.0,1.0,16.0,33.0,15.0,118.0,620.0,2,960.4166666666666,0.10840464264087771,,5000.0,2125.0,False,False,False,False,False,True,False,False,False,False,False,False,True
214225,587.0,2654.678363,342.0,0.3043478261,48.85714286,907900.0,0,0.0,3000.0,1.0,0.0,1.0,16.0,33.0,10.0,43.0,609.0,1,2168.3333333333335,0.6104961633512964,,1500.0,2214.285714285714,False,False,False,False,False,True,False,False,False,False,False,False,True
